order_id,customer_id,order_date,product_name,category,quantity,unit_price,revenue
ORD-000001,CUST-0019,2024-02-05,Yoga Mat,Sports,1,10.53,10.53
ORD-000002,CUST-0006,2023-11-23,USB-C Hub,Electronics,2,356.64,713.28
ORD-000003,CUST-0041,2024-12-10,USB-C Hub,Electronics,1,61.45,61.45
ORD-000004,CUST-0002,2023-08-05,Makeup Brush Set,Beauty,2,24.61,49.22
ORD-000005,CUST-0056,2023-02-01,Yoga Mat,Sports,1,122.26,122.26
ORD-000006,CUST-0075,2023-06-25,Running Shoes,Clothing,1,81.30,81.30
ORD-000007,CUST-0066,2024-10-01,Bed Sheet Set,Home & Kitchen,3,74.71,224.13
ORD-000008,CUST-0080,2024-10-12,Yoga Mat,Sports,1,24.05,24.05
ORD-000009,CUST-0010,2023-11-09,Trail Backpack,Sports,2,112.60,225.20
ORD-000010,CUST-0051,2023-12-31,Smart Watch,Electronics,1,135.87,135.87
ORD-000011,CUST-0001,2023-05-29,Coffee Grinder,Home & Kitchen,2,19.94,39.88
ORD-000012,CUST-0063,2023-11-05,Business Handbook,Books,1,14.38,14.38
ORD-000013,CUST-0040,2023-10-14,Smart Watch,Electronics,1,56.36,56.36
ORD-000014,CUST-0069,2024-05-11,Robot Vacuum,Home & Kitchen,2,40.03,80.06
ORD-000015,CUST-0080,2024-09-21,Python Crash Course,Books,3,15.61,46.83
ORD-000016,CUST-0039,2024-03-21,Bluetooth Speaker,Electronics,1,200.98,200.98
ORD-000017,CUST-0047,2024-02-11,Vitamin C Serum,Beauty,1,20.11,20.11
ORD-000018,CUST-0007,2024-11-05,Robot Vacuum,Home & Kitchen,2,125.43,250.86
ORD-000019,CUST-0011,2024-04-30,Wireless Headphones,Electronics,2,85.51,171.02
ORD-000020,CUST-0055,2024-04-05,Sunscreen SPF 50,Beauty,3,37.11,111.33
ORD-000021,CUST-0001,2024-05-24,Cotton Hoodie,Clothing,1,47.41,47.41
ORD-000022,CUST-0066,2023-11-03,Denim Jacket,Clothing,1,30.56,30.56
ORD-000023,CUST-0005,2024-05-19,Mechanical Keyboard,Electronics,1,38.91,38.91
ORD-000024,CUST-0029,2024-06-25,USB-C Hub,Electronics,2,134.52,269.04
ORD-000025,CUST-0024,2024-08-19,Wireless Headphones,Electronics,1,135.52,135.52
ORD-000026,CUST-0017,2024-09-19,Air Fryer,Home & Kitchen,2,112.91,225.82
ORD-000027,CUST-0068,2023-04-19,Running Shoes,Clothing,2,46.91,93.82
ORD-000028,CUST-0005,2023-01-20,Kitchen Knife Set,Home & Kitchen,1,41.08,41.08
ORD-000029,CUST-0009,2024-12-04,Vitamin C Serum,Beauty,2,13.61,27.22
ORD-000030,CUST-0010,2023-09-24,Wireless Headphones,Electronics,1,58.47,58.47
ORD-000031,CUST-0009,2023-01-25,Healthy Meal Prep,Books,3,14.65,43.95
ORD-000032,CUST-0077,2023-06-04,Bluetooth Speaker,Electronics,2,137.91,275.82
ORD-000033,CUST-0035,2024-10-07,Smart Watch,Electronics,1,123.77,123.77
ORD-000034,CUST-0001,2024-07-23,Cotton Hoodie,Clothing,1,46.26,46.26
ORD-000035,CUST-0031,2023-05-22,Wireless Headphones,Electronics,4,37.63,150.52
ORD-000036,CUST-0021,2023-01-02,Air Fryer,Home & Kitchen,3,113.30,339.90
ORD-000037,CUST-0008,2024-12-26,Face Moisturizer,Beauty,2,8.46,16.92
ORD-000038,CUST-0029,2024-02-25,Mechanical Keyboard,Electronics,1,361.10,361.10
ORD-000039,CUST-0075,2024-09-17,Cotton Hoodie,Clothing,1,83.44,83.44
ORD-000040,CUST-0021,2023-12-07,USB-C Hub,Electronics,1,84.21,84.21
ORD-000041,CUST-0057,2023-10-28,Data Analytics Primer,Books,1,15.66,15.66
ORD-000042,CUST-0063,2023-08-18,Wireless Headphones,Electronics,4,62.03,248.12
ORD-000043,CUST-0035,2024-12-19,Smart Watch,Electronics,1,94.72,94.72
ORD-000044,CUST-0082,2023-03-10,Robot Vacuum,Home & Kitchen,3,79.57,238.71
ORD-000045,CUST-0019,2023-04-23,Smart Watch,Electronics,1,203.07,203.07
ORD-000046,CUST-0001,2023-07-24,Vitamin C Serum,Beauty,1,13.69,13.69
ORD-000047,CUST-0056,2023-05-28,Vitamin C Serum,Beauty,3,23.93,71.79
ORD-000048,CUST-0003,2024-06-13,Denim Jacket,Clothing,1,46.26,46.26
ORD-000049,CUST-0024,2023-12-30,Face Moisturizer,Beauty,2,19.59,39.18
ORD-000050,CUST-0044,2024-12-01,Foam Roller,Sports,1,68.83,68.83
ORD-000051,CUST-0067,2024-11-14,Body Lotion,Beauty,1,13.27,13.27
ORD-000052,CUST-0038,2023-12-13,Kitchen Knife Set,Home & Kitchen,2,71.30,142.60
ORD-000053,CUST-0016,2024-07-01,Air Fryer,Home & Kitchen,1,72.57,72.57
ORD-000054,CUST-0008,2023-01-10,Wireless Headphones,Electronics,2,344.27,688.54
ORD-000055,CUST-0074,2024-04-02,Air Fryer,Home & Kitchen,2,74.83,149.66
ORD-000056,CUST-0012,2023-04-13,Graphic T-Shirt,Clothing,1,47.15,47.15
ORD-000057,CUST-0063,2023-05-21,Graphic T-Shirt,Clothing,1,42.92,42.92
ORD-000058,CUST-0046,2023-10-12,Smart Watch,Electronics,1,41.53,41.53
ORD-000059,CUST-0009,2023-04-22,Business Handbook,Books,2,15.14,30.28
ORD-000060,CUST-0038,2024-05-18,Smart Watch,Electronics,1,38.14,38.14
ORD-000061,CUST-0011,2024-05-06,Cotton Hoodie,Clothing,2,59.82,119.64
ORD-000062,CUST-0070,2024-03-31,Healthy Meal Prep,Books,2,18.95,37.90
ORD-000063,CUST-0002,2023-03-02,Wireless Headphones,Electronics,1,132.76,132.76
ORD-000064,CUST-0035,2023-08-07,Robot Vacuum,Home & Kitchen,1,116.92,116.92
ORD-000065,CUST-0036,2023-02-03,Python Crash Course,Books,1,19.68,19.68
ORD-000066,CUST-0016,2024-03-09,Foam Roller,Sports,1,10.39,10.39
ORD-000067,CUST-0008,2024-04-20,Sunscreen SPF 50,Beauty,1,12.52,12.52
ORD-000068,CUST-0049,2023-03-22,Mechanical Keyboard,Electronics,1,194.52,194.52
ORD-000069,CUST-0020,2023-04-20,Cotton Hoodie,Clothing,1,60.65,60.65
ORD-000070,CUST-0040,2023-03-06,Denim Jacket,Clothing,2,43.70,87.40
ORD-000071,CUST-0052,2023-10-26,Air Fryer,Home & Kitchen,2,19.65,39.30
ORD-000072,CUST-0007,2024-10-22,Foam Roller,Sports,1,38.05,38.05
ORD-000073,CUST-0034,2023-04-24,Vitamin C Serum,Beauty,1,59.75,59.75
ORD-000074,CUST-0066,2023-02-27,Wireless Headphones,Electronics,1,85.03,85.03
ORD-000075,CUST-0001,2023-10-05,Running Shoes,Clothing,2,28.20,56.40
ORD-000076,CUST-0021,2024-02-07,Cotton Hoodie,Clothing,1,45.53,45.53
ORD-000077,CUST-0054,2023-07-20,Cotton Hoodie,Clothing,1,84.83,84.83
ORD-000078,CUST-0007,2023-12-03,Mechanical Keyboard,Electronics,1,58.49,58.49
ORD-000079,CUST-0007,2024-10-16,Coffee Grinder,Home & Kitchen,1,120.68,120.68
ORD-000080,CUST-0071,2023-07-02,Air Fryer,Home & Kitchen,1,114.29,114.29
ORD-000081,CUST-0068,2024-11-12,Vitamin C Serum,Beauty,1,19.18,19.18
ORD-000082,CUST-0030,2023-07-19,Coffee Grinder,Home & Kitchen,1,19.55,19.55
ORD-000083,CUST-0028,2023-09-19,Vitamin C Serum,Beauty,1,59.94,59.94
ORD-000084,CUST-0039,2023-12-08,Trail Backpack,Sports,3,26.26,78.78
ORD-000085,CUST-0007,2024-08-16,Yoga Mat,Sports,2,68.40,136.80
ORD-000086,CUST-0019,2023-05-22,Healthy Meal Prep,Books,1,7.03,7.03
ORD-000087,CUST-0056,2023-12-18,Yoga Leggings,Clothing,2,20.37,40.74
ORD-000088,CUST-0036,2023-02-17,Leadership Playbook,Books,1,26.35,26.35
ORD-000089,CUST-0021,2023-09-09,Cotton Hoodie,Clothing,1,19.34,19.34
ORD-000090,CUST-0017,2023-07-06,Smart Watch,Electronics,1,95.25,95.25
ORD-000091,CUST-0018,2024-07-11,Air Fryer,Home & Kitchen,1,41.93,41.93
ORD-000092,CUST-0055,2023-04-18,Smart Watch,Electronics,1,38.88,38.88
ORD-000093,CUST-0013,2023-02-20,Rain Jacket,Clothing,1,63.52,63.52
ORD-000094,CUST-0026,2024-08-02,Air Fryer,Home & Kitchen,1,243.80,243.80
