order_id,customer_id,order_date,product_name,category,quantity,unit_price,revenue
ORD-000001,CUST-0105,02/02/2023,Smart Watch,Electronics,1,85.70,85.70
ORD-000002,CUST-0147,2024/05/22,Smart Watch,Electronics,1,184.58,184.58
ORD-000003,CUST-0383,14-04-2024,Wireless Headphones,Electronics,3,89.03,267.09
ORD-000004,CUST-0019,"Jul 29, 2023",Rain Jacket,Clothing,2,20.43,40.86
ORD-000005,CUST-0449,2023-05-27,Business Handbook,Books,1,33.47,33.47
ORD-000006,CUST-0002,08/22/2024,Vitamin C Serum,Beauty,3,35.06,105.18
ORD-000007,CUST-0281,2024/09/12,Robot Vacuum,Home & Kitchen,2,79.08,158.16
ORD-000008,CUST-0002,18-12-2024,Hair Dryer,Beauty,1,36.04,36.04
ORD-000009,CUST-0026,"Jul 06, 2024",Face Moisturizer,Beauty,1,12.03,12.03
ORD-000010,CUST-0003,2023-05-14,Wireless Headphones,Electronics,1,133.05,133.05
ORD-000011,CUST-0054,11/09/2023,Finance Basics,Books,1,23.94,23.94
ORD-000012,CUST-0161,2024/12/20,Wireless Headphones,Electronics,1,93.93,93.93
ORD-000013,CUST-0262,23-06-2023,Cotton Hoodie,Clothing,2,47.62,95.24
ORD-000014,CUST-0026,"Mar 20, 2023",Smart Watch,Electronics,2,195.57,391.14
ORD-000015,CUST-0311,2024-05-04,Vitamin C Serum,Beauty,3,13.21,39.63
ORD-000016,CUST-0020,12/07/2024,Business Handbook,Books,1,15.89,15.89
ORD-000017,CUST-0285,2024/06/17,Running Shoes,Clothing,1,18.37,18.37
ORD-000018,CUST-0479,30-08-2023,USB-C Hub,Electronics,1,199.90,199.90
ORD-000019,CUST-0271,"Feb 03, 2024",Graphic T-Shirt,Clothing,1,28.95,28.95
ORD-000020,CUST-0084,2024-12-01,Hair Dryer,Beauty,1,8.38,8.38
ORD-000021,CUST-0062,02/21/2023,Healthy Meal Prep,Books,1,15.16,15.16
ORD-000022,CUST-0164,2023/10/04,Portable Charger,Electronics,1,91.45,91.45
ORD-000023,CUST-0313,20-03-2024,Bluetooth Speaker,Electronics,2,358.38,716.76
ORD-000024,CUST-0340,"Jul 08, 2023",Wireless Headphones,Electronics,4,90.37,361.48
ORD-000025,CUST-0084,2024-09-19,Wireless Headphones,Electronics,1,128.99,128.99
ORD-000026,CUST-0027,04/29/2023,Cotton Hoodie,Clothing,3,29.92,89.76
