order_id,customer_id,order_date,product_name,category,quantity,unit_price,revenue
ORD-000001,CUST-0147,2024-04-27,Building Blocks Set,Toys,1,23.32,23.32
ORD-000002,CUST-0257,2024-01-27,STEM Robot Kit,Toys,1,15.52,15.52
ORD-000003,CUST-0276,2024-06-13,Camping Lantern,Outdoor,2,72.66,145.32
ORD-000004,CUST-0117,2023-05-24,Organic Dog Treats,Pet Supplies,1,20.43,20.43
ORD-000005,CUST-0099,2023-04-27,Solar Power Bank,Outdoor,1,121.24,121.24
ORD-000006,CUST-0347,2024-11-19,Notebook Set,Office,1,86.51,86.51
ORD-000007,CUST-0452,2023-06-18,Ergonomic Chair Cushion,Office,1,94.92,94.92
ORD-000008,CUST-0087,2024-04-02,STEM Robot Kit,Toys,2,45.82,91.64
ORD-000009,CUST-0049,2024-10-18,Ergonomic Chair Cushion,Office,2,13.44,26.88
ORD-000010,CUST-0475,2024-12-16,Organic Olive Oil,Grocery,2,17.24,34.48
ORD-000011,CUST-0317,2024-09-15,Wooden Puzzle,Toys,1,82.00,82.00
ORD-000012,CUST-0059,2024-12-31,Artisan Coffee Beans,Grocery,2,26.33,52.66
ORD-000013,CUST-0075,2023-03-15,Ergonomic Chair Cushion,Office,1,94.77,94.77
ORD-000014,CUST-0390,2024-09-11,Insulated Cooler,Outdoor,1,127.96,127.96
ORD-000015,CUST-0058,2023-04-10,Picnic Blanket,Outdoor,1,36.44,36.44
ORD-000016,CUST-0389,2024-11-12,Board Game Deluxe,Toys,1,23.70,23.70
ORD-000017,CUST-0094,2023-11-03,Camping Lantern,Outdoor,3,129.24,387.72
ORD-000018,CUST-0017,2023-02-23,Camping Lantern,Outdoor,2,64.29,128.58
ORD-000019,CUST-0276,2024-01-30,STEM Robot Kit,Toys,2,24.04,48.08
ORD-000020,CUST-0144,2024-11-29,Notebook Set,Office,1,95.30,95.30
ORD-000021,CUST-0081,2024-10-03,Granola Variety Pack,Grocery,2,17.03,34.06
ORD-000022,CUST-0339,2023-03-25,Ergonomic Chair Cushion,Office,1,13.69,13.69
ORD-000023,CUST-0466,2023-10-07,Picnic Blanket,Outdoor,3,126.91,380.73
ORD-000024,CUST-0499,2024-07-07,Insulated Cooler,Outdoor,2,42.08,84.16
ORD-000025,CUST-0398,2023-06-05,Ergonomic Chair Cushion,Office,3,12.92,38.76
ORD-000026,CUST-0093,2024-12-09,Monitor Arm,Office,1,91.58,91.58
ORD-000027,CUST-0078,2023-10-13,Organic Olive Oil,Grocery,2,24.02,48.04
ORD-000028,CUST-0004,2024-05-08,Ergonomic Chair Cushion,Office,2,90.13,180.26
ORD-000029,CUST-0057,2024-03-31,Monitor Arm,Office,1,12.88,12.88
ORD-000030,CUST-0085,2024-06-29,STEM Robot Kit,Toys,1,80.35,80.35
ORD-000031,CUST-0423,2024-07-22,STEM Robot Kit,Toys,1,15.84,15.84
ORD-000032,CUST-0230,2023-04-28,Protein Bar Box,Grocery,1,9.22,9.22
ORD-000033,CUST-0085,2023-12-17,Notebook Set,Office,2,13.55,27.10
ORD-000034,CUST-0047,2024-02-28,Wooden Puzzle,Toys,1,24.36,24.36
ORD-000035,CUST-0071,2024-01-11,Building Blocks Set,Toys,1,46.89,46.89
ORD-000036,CUST-0440,2024-04-17,Ergonomic Chair Cushion,Office,1,13.23,13.23
ORD-000037,CUST-0024,2024-04-05,Ergonomic Chair Cushion,Office,1,83.30,83.30
ORD-000038,CUST-0004,2023-01-16,Organic Dog Treats,Pet Supplies,2,43.80,87.60
ORD-000039,CUST-0251,2024-04-06,Artisan Coffee Beans,Grocery,1,10.17,10.17
ORD-000040,CUST-0209,2023-06-07,Artisan Coffee Beans,Grocery,1,32.51,32.51
ORD-000041,CUST-0180,2023-05-17,Insulated Cooler,Outdoor,3,39.53,118.59
ORD-000042,CUST-0439,2023-04-10,STEM Robot Kit,Toys,1,81.95,81.95
ORD-000043,CUST-0406,2023-01-07,Insulated Cooler,Outdoor,1,136.71,136.71
ORD-000044,CUST-0032,2023-12-28,Granola Variety Pack,Grocery,2,17.31,34.62
ORD-000045,CUST-0047,2024-04-20,Monitor Arm,Office,1,50.23,50.23
ORD-000046,CUST-0327,2024-06-14,Artisan Coffee Beans,Grocery,2,16.08,32.16
ORD-000047,CUST-0238,2023-02-09,Camping Lantern,Outdoor,1,137.20,137.20
ORD-000048,CUST-0417,2023-04-18,Organic Olive Oil,Grocery,2,9.09,18.18
ORD-000049,CUST-0028,2024-09-07,Monitor Arm,Office,1,46.92,46.92
ORD-000050,CUST-0191,2024-09-24,Picnic Blanket,Outdoor,1,69.19,69.19
ORD-000051,CUST-0309,2024-08-10,Pet Grooming Brush,Pet Supplies,2,9.38,18.76
ORD-000052,CUST-0439,2023-04-28,STEM Robot Kit,Toys,1,23.16,23.16
ORD-000053,CUST-0016,2024-10-21,Artisan Coffee Beans,Grocery,2,25.90,51.80
ORD-000054,CUST-0160,2023-06-03,Travel Water Bowl,Pet Supplies,1,8.69,8.69
ORD-000055,CUST-0454,2024-05-04,Insulated Cooler,Outdoor,2,66.48,132.96
ORD-000056,CUST-0135,2024-01-14,Monitor Arm,Office,2,51.35,102.70
ORD-000057,CUST-0015,2024-04-27,Notebook Set,Office,1,25.77,25.77
ORD-000058,CUST-0089,2024-01-05,Artisan Coffee Beans,Grocery,2,9.95,19.90
ORD-000059,CUST-0146,2024-02-15,Travel Water Bowl,Pet Supplies,1,21.19,21.19
ORD-000060,CUST-0067,2024-11-30,STEM Robot Kit,Toys,1,79.61,79.61
ORD-000061,CUST-0084,2023-08-02,Ergonomic Chair Cushion,Office,1,26.34,26.34
ORD-000062,CUST-0004,2024-11-15,Artisan Coffee Beans,Grocery,1,10.25,10.25
ORD-000063,CUST-0135,2024-07-25,Camping Lantern,Outdoor,1,67.53,67.53
ORD-000064,CUST-0057,2023-06-06,Notebook Set,Office,2,50.87,101.74
ORD-000065,CUST-0243,2023-11-30,Artisan Coffee Beans,Grocery,1,9.40,9.40
ORD-000066,CUST-0234,2023-08-25,Artisan Coffee Beans,Grocery,3,17.95,53.85
ORD-000067,CUST-0132,2023-10-09,Camping Lantern,Outdoor,2,40.52,81.04
ORD-000068,CUST-0049,2023-06-02,Organic Dog Treats,Pet Supplies,1,42.19,42.19
ORD-000069,CUST-0076,2023-01-09,Camping Lantern,Outdoor,1,120.30,120.30
ORD-000070,CUST-0114,2023-03-31,Organic Olive Oil,Grocery,1,10.53,10.53
ORD-000071,CUST-0180,2023-07-29,Protein Bar Box,Grocery,1,10.45,10.45
ORD-000072,CUST-0149,2023-12-02,Wooden Puzzle,Toys,2,82.75,165.50
ORD-000073,CUST-0004,2023-05-28,Protein Bar Box,Grocery,1,16.93,16.93
ORD-000074,CUST-0004,2023-11-20,Camping Lantern,Outdoor,3,39.49,118.47
ORD-000075,CUST-0063,2024-12-09,Camping Lantern,Outdoor,2,41.91,83.82
ORD-000076,CUST-0001,2024-03-21,Camping Lantern,Outdoor,2,40.45,80.90
ORD-000077,CUST-0003,2024-11-16,Wooden Puzzle,Toys,1,22.19,22.19
ORD-000078,CUST-0395,2024-11-24,Notebook Set,Office,1,52.54,52.54
ORD-000079,CUST-0049,2024-10-07,Wooden Puzzle,Toys,1,24.22,24.22
ORD-000080,CUST-0023,2024-02-23,Building Blocks Set,Toys,2,23.84,47.68
ORD-000081,CUST-0003,2023-08-21,Ergonomic Chair Cushion,Office,1,26.25,26.25
ORD-000082,CUST-0227,2023-07-29,STEM Robot Kit,Toys,3,44.69,134.07
ORD-000083,CUST-0063,2023-12-12,Organic Dog Treats,Pet Supplies,1,8.61,8.61
ORD-000084,CUST-0006,2023-07-12,Board Game Deluxe,Toys,2,24.13,48.26
ORD-000085,CUST-0025,2024-07-23,Artisan Coffee Beans,Grocery,4,31.77,127.08
ORD-000086,CUST-0322,2024-01-13,Organic Dog Treats,Pet Supplies,1,20.45,20.45
ORD-000087,CUST-0267,2024-12-13,STEM Robot Kit,Toys,2,46.68,93.36
ORD-000088,CUST-0009,2024-12-30,Artisan Coffee Beans,Grocery,3,9.51,28.53
ORD-000089,CUST-0481,2024-07-03,Insulated Cooler,Outdoor,1,129.09,129.09
ORD-000090,CUST-0016,2024-07-17,Desk Cable Tray,Office,1,90.03,90.03
ORD-000091,CUST-0082,2023-10-06,Camping Lantern,Outdoor,1,120.91,120.91
ORD-000092,CUST-0365,2024-12-29,Camping Lantern,Outdoor,1,136.23,136.23
ORD-000093,CUST-0040,2023-08-02,Camping Lantern,Outdoor,1,72.33,72.33
ORD-000094,CUST-0033,2023-05-12,Monitor Arm,Office,2,52.18,104.36
ORD-000095,CUST-0095,2024-03-19,Camping Lantern,Outdoor,3,132.14,396.42
ORD-000096,CUST-0306,2024-03-24,Building Blocks Set,Toys,3,21.91,65.73
